code_commune,nom_commune,epci_nom,population,taux_chomage,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale,solde_net,score_mortalite,score_solde,score_densite,score_chomage,score_fragilite,quartile,cluster,profil,categorie_priorite
59115,BRUNEMONT,CA Douaisis Agglo,704.0,11.77,13,8,5,38.46153846153847,11.363636363636363,3,9.62,0.09,22.38,7.67,39.76,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59116,BRY,CC du Pays de Mormal,390.0,4.69,8,1,7,87.5,2.564102564102564,-6,21.88,0.15,24.41,3.06,49.49,Q4-Fragile,3.0,Désertifié,Priorité B
59117,BUGNICOURT,CA Douaisis Agglo,1095.0,7.91,22,9,13,59.09090909090909,8.219178082191782,-4,14.77,0.14,23.1,5.15,43.17,Q2-Stable,3.0,Désertifié,Non prioritaire
59118,BUSIGNY,CA du Caudrésis et du Catésis,2435.0,23.73,59,24,35,59.32203389830508,9.856262833675563,-11,14.83,0.18,22.73,15.46,53.2,Q4-Fragile,1.0,Précaire,Priorité B
59119,BUYSSCHEURE,CA Coeur de Flandre,582.0,7.75,16,7,9,56.25,12.027491408934708,-2,14.06,0.12,22.23,5.05,41.46,Q2-Stable,0.0,Dynamique,Non prioritaire
59120,CAESTRE,CA Coeur de Flandre,1951.0,5.77,39,19,20,51.28205128205128,9.7385955920041,-1,12.82,0.12,22.75,3.76,39.45,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59121,CAGNONCLES,CA de Cambrai,663.0,10.09,13,6,7,53.84615384615385,9.049773755656108,-1,13.46,0.12,22.91,6.57,43.07,Q2-Stable,0.0,Dynamique,Non prioritaire
59122,CAMBRAI,CA de Cambrai,31134.0,21.54,1873,751,1122,59.903897490656696,24.12153915333719,-371,14.98,2.43,19.44,14.03,50.88,Q4-Fragile,1.0,Précaire,Priorité B
59123,CAMPHIN-EN-CAREMBAULT,CC Pévèle-Carembault,1737.0,6.15,39,17,22,56.41025641025641,9.78698906160046,-5,14.1,0.14,22.74,4.01,41.0,Q1-Dynamique,3.0,Désertifié,Non prioritaire
59124,CAMPHIN-EN-PEVELE,CC Pévèle-Carembault,2518.0,6.17,58,25,33,56.896551724137936,9.928514694201748,-8,14.22,0.16,22.71,4.02,41.12,Q2-Stable,3.0,Désertifié,Non prioritaire
59125,CANTAING-SUR-ESCAUT,CA de Cambrai,410.0,12.14,6,3,3,50.0,7.317073170731708,0,12.5,0.11,23.31,7.91,43.83,Q2-Stable,0.0,Dynamique,Priorité B
59126,CANTIN,CA Douaisis Agglo,1741.0,13.01,35,11,24,68.57142857142857,6.318207926479035,-13,17.14,0.19,23.54,8.48,49.36,Q4-Fragile,3.0,Désertifié,Priorité B
59128,CAPINGHEM,Métropole Européenne de Lille,2728.0,9.14,102,43,59,57.84313725490197,15.762463343108504,-16,14.46,0.21,21.37,5.96,41.99,Q2-Stable,0.0,Dynamique,Non prioritaire
59129,CAPPELLE-EN-PEVELE,CC Pévèle-Carembault,2257.0,4.89,43,22,21,48.837209302325576,9.74745237040319,1,12.21,0.11,22.75,3.19,38.25,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59130,CAPPELLE-BROUCK,CC des Hauts de Flandre,1169.0,9.59,22,11,11,50.0,9.409751924721984,0,12.5,0.11,22.83,6.25,41.69,Q2-Stable,0.0,Dynamique,Non prioritaire
59131,CAPPELLE-LA-GRANDE,CU de Dunkerque,7839.0,16.61,194,97,97,50.0,12.374027299400431,0,12.5,0.11,22.15,10.82,45.58,Q3-Fragilisé,1.0,Précaire,Non prioritaire
