code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59182,DRINCHAM,200040954,CC des Hauts de Flandre,CC,281.0,11.42,,7,1,6,85.71428571428571,3.558718861209964
59183,DUNKERQUE,245900428,CU de Dunkerque,CU,86263.0,19.65,7490.0,3832,1443,2389,62.34342379958247,16.727913473911176
59184,EBBLINGHEM,200040947,CA Coeur de Flandre,CA,660.0,7.72,,10,5,5,50.0,7.575757575757575
59185,ECAILLON,245901152,CA Coeur d'Ostrevent,CA,1869.0,16.71,,27,16,11,40.74074074074074,8.560727661851258
59186,ECCLES,200043263,CC Coeur de l'Avesnois,CC,94.0,5.13,,1,0,1,100.0,0.0
59187,ECLAIBES,200043396,CA Maubeuge Val de Sambre,CA,269.0,6.41,,5,2,3,60.0,7.434944237918216
59188,ECUELIN,200043396,CA Maubeuge Val de Sambre,CA,145.0,7.69,,5,1,4,80.0,6.8965517241379315
59189,EECKE,200040947,CA Coeur de Flandre,CA,1213.0,5.85,,29,12,17,58.620689655172406,9.892827699917559
59190,ELESMES,200043396,CA Maubeuge Val de Sambre,CA,1013.0,7.5,,25,13,12,48.0,12.833168805528135
59191,ELINCOURT,200030633,CA du Caudrésis et du Catésis,CA,606.0,15.79,,26,11,15,57.692307692307686,18.151815181518153
59192,EMERCHICOURT,200042190,CA de la Porte du Hainaut,CA,804.0,10.86,,23,9,14,60.86956521739131,11.194029850746269
59193,EMMERIN,200093201,Métropole Européenne de Lille,METRO,3026.0,7.36,10770.0,52,24,28,53.84615384615385,7.931262392597489
59194,ENGLEFONTAINE,200043321,CC du Pays de Mormal,CC,1291.0,15.34,,34,18,16,47.05882352941176,13.942680092951202
59195,ENGLOS,200093201,Métropole Européenne de Lille,METRO,618.0,7.8,,124,67,57,45.96774193548387,108.41423948220064
59196,ENNETIERES-EN-WEPPES,200093201,Métropole Européenne de Lille,METRO,1280.0,5.71,,75,44,31,41.333333333333336,34.375
59197,ENNEVELIN,200041960,CC Pévèle-Carembault,CC,2416.0,4.92,,70,27,43,61.42857142857143,11.175496688741722
59198,EPPE-SAUVAGE,200043404,CC du Sud Avesnois,CC,237.0,9.85,,15,8,7,46.666666666666664,33.755274261603375
59199,ERCHIN,200044618,CA Douaisis Agglo,CA,670.0,10.43,,8,3,5,62.5,4.477611940298507
59200,ERINGHEM,200040954,CC des Hauts de Flandre,CC,462.0,5.85,,8,2,6,75.0,4.329004329004329
59201,ERQUINGHEM-LE-SEC,200093201,Métropole Européenne de Lille,METRO,620.0,5.48,,12,4,8,66.66666666666666,6.451612903225807
